Contig	FAME000001	FAME000002	FAME000003	FAME000004	FAME000005	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000015	FAME000016	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
contig_1624	179.5	0.9483	7.82	0.0	44.34	0.5062	9.184	85.69	0.2749	67.94	0.0	0.0	82.02	54.18	0.06729	87.93	0.7326	93.12	0.1596	93.91	80.82	0.4801
contig_16400	193.2	688.2	511.9	1141.0	366.6	409.0	97.32	284.2	590.8	332.6	704.8	407.9	332.2	377.7	454.0	481.8	1003.0	440.5	1741.0	472.2	324.4	646.5
contig_1647	22.53	1.018	2.163	0.1873	30.88	0.07906	13.17	126.6	0.09445	73.58	0.2484	0.2976	74.72	41.83	0.1445	61.91	0.236	60.74	0.4114	50.35	56.93	0.165
contig_1649	125.0	0.9047	5.672	0.9508	50.63	1.605	11.43	110.6	0.1798	116.6	10.28	0.2518	130.5	114.3	0.2384	188.2	1.398	188.2	0.2175	199.6	178.1	0.4188
contig_165	44.4	13.72	133.1	142.6	43.0	47.54	18.99	49.25	80.42	55.51	28.66	60.32	54.74	79.54	41.48	98.13	152.8	83.85	131.1	80.21	69.46	93.52
contig_16573	67.13	0.3253	29.23	0.359	114.0	6.478	8.619	88.67	0.06035	117.1	0.3571	9.317	105.4	79.26	10.72	102.4	23.7	79.11	5.541	74.48	80.95	0.1054
contig_16591	1274.0	2.645	66.73	2.432	430.0	2.31	81.82	864.4	2.607	768.5	3.427	2.899	746.0	580.1	2.252	1189.0	4.342	1235.0	5.343	1242.0	1791.0	1.875
contig_16594	2.59	0.0	0.05712	0.0	10.52	0.07932	1.366	15.32	0.09477	13.3	0.0623	0.0	35.39	29.44	0.174	55.87	0.0	42.23	0.0	41.95	21.24	0.0
contig_16596	145.1	0.718	7.627	19.6	54.77	0.4181	14.69	117.5	0.2724	115.3	4.637	0.159	143.1	125.3	0.4261	200.9	0.7816	196.0	0.5713	216.3	181.9	7.482
contig_16602	10.16	0.0	6.008	0.3088	12.21	0.0	3.565	25.97	0.0	31.97	0.4096	0.0	43.74	40.12	0.09531	43.55	0.0	43.42	0.0	61.44	33.7	0.0
contig_16639	14.61	0.0	23.16	0.0	64.35	43.94	6.909	21.96	0.0	28.4	0.2605	0.1387	22.69	29.08	0.04041	31.64	0.0	26.88	0.3834	28.47	23.6	31.6
contig_16650	460.3	4.944	721.4	3.126	598.4	289.7	275.0	546.7	0.8598	685.5	458.8	5.118	641.7	568.1	219.9	835.2	5.968	671.6	2212.0	665.8	646.1	1386.0
contig_1686	142.3	0.5124	8.415	0.589	75.84	0.5967	15.75	136.1	7.307	137.9	0.4296	0.6863	173.4	145.2	3.145	259.5	1.336	255.0	0.5606	254.1	254.6	4.877
contig_16860	8.563	1.481	20.22	1.945	11.13	1748.0	1.283	14.46	0.4905	18.47	0.258	0.6182	13.58	11.67	0.06003	14.92	0.0	14.49	65.79	12.78	9.475	0.0
contig_1699	52.85	548.6	26.34	0.2745	37.88	27.6	3.895	39.72	0.1384	39.88	0.1517	0.09693	45.88	35.85	0.9037	47.73	0.0	47.44	0.3014	53.07	49.45	0.2015
contig_17010	64.71	77.52	272.0	162.3	139.0	47.44	18.58	94.21	66.85	86.44	47.12	7.814	71.84	103.8	66.67	117.2	143.0	95.0	36.62	107.6	85.44	79.87
contig_17119	65.54	29.34	308.0	212.4	172.0	18.98	28.05	99.6	116.6	110.1	80.8	56.55	91.25	134.5	0.6268	157.1	149.4	125.6	111.5	158.9	110.6	88.17
