#FeatureID	FAME000001_good_out	FAME000002_good_out	FAME000003_good_out	FAME000004_good_out	FAME000005_good_out	FAME000006_good_out	FAME000007_good_out	FAME000008_good_out	FAME000009_good_out	FAME000010_good_out	FAME000011_good_out	FAME000012_good_out	FAME000013_good_out	FAME000014_good_out	FAME000015_good_out	FAME000016_good_out	FAME000017_good_out	FAME000018_good_out	FAME000019_good_out	FAME000020_good_out	FAME000022_good_out	FAME000023_good_out
N5006	28	0	50	0	79	0	4	54	0	47	0	0	44	55	2	43	0	39	0	46	40	0
N5043	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
N5047	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
N5053	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
N5054	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
N5064	0	0	0	1	0	2	0	0	1	0	0	2	3	0	0	0	6	0	2	0	2	0
N5066	3	2	2	9	11	6	5	2	6	2	9	1	14	0	8	7	9	2	3	2	2	1
N5067	2	0	1	1	6	0	3	11	3	1	8	3	9	2	7	3	7	2	5	0	2	2
N5068	2	0	0	0	2	0	2	0	0	0	2	2	2	2	2	0	0	0	4	1	0	0
N5069	50	0	76	0	154	19	24	62	1	82	0	0	64	89	0	79	0	64	0	85	65	0
N5071	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0
N5077	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N5078	2	0	0	0	2	0	0	1	0	2	0	0	2	4	0	4	2	5	0	2	0	0
N5081	8	0	24	35	7	0	2	1	2	0	3	4	24	0	21	19	4	0	4	1	0	6
N5083	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
N5084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
N5085	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
N5088	0	0	0	0	0	2	0	2	0	0	0	4	0	0	0	0	1	0	2	3	0	0
N5089	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0
N5091	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1
N5093	11	0	23	24	8	41	16	4	84	4	8	6	8	14	14	6	16	12	27	6	2	26
N5094	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1
N5095	0	0	0	0	0	0	2	0	0	0	0	2	3	0	4	0	0	0	0	0	0	0
N5097	5	0	16	0	22	0	2	9	6	12	0	0	4	18	0	15	0	20	0	8	11	0
N5098	1643	306	3875	927	4364	2172	30	192	1715	2391	1443	60	1178	247	2915	641	3868	1766	32	163	1839	1004
N5099	1601	5	164	4	1553	1	207	696	5	884	2	2	1020	849	4	368	2	484	2	747	761	2
N5101	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
N5103	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	2	0	0
N5104	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0
N5106	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
N5107	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
